indicator_id,district_id,district_name,sector_id,sector_name,indicator_name,indicator_value,unit,indicator_definition,population_or_denominator,reference_period,data_type,source_document_id,printed_page,table_or_figure,extraction_status,quality_note,verified_by,verification_date,notes
IND0001,D001,Pune,SEC_IT,IT/ITeS,Candidate Aspiration,2784,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0002,D001,Pune,SEC_BFSI,BFSI,Candidate Aspiration,891,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0003,D001,Pune,SEC_HC,Healthcare,Candidate Aspiration,614,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0004,D001,Pune,SEC_ELEC,Electronics,Candidate Aspiration,606,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0005,D001,Pune,SEC_MGMT,Management,Candidate Aspiration,463,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0006,D001,Pune,SEC_BEAU,Beauty & Wellness,Candidate Aspiration,426,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0007,D001,Pune,SEC_AUTO,Automotive,Candidate Aspiration,375,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0008,D001,Pune,SEC_CONST,Construction,Candidate Aspiration,314,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0009,D001,Pune,SEC_AGRI,Agriculture,Candidate Aspiration,257,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0010,D001,Pune,SEC_FOOD,Food Processing,Candidate Aspiration,236,Candidates,Number of candidates aspiring to work in sector,200000+ trainees,2023-07,Survey,MSSDS_MSNAS_2023,301,Bar Chart,Extracted,,,,
IND0011,D001,Pune,SEC_AGRI,Agriculture,DSDP Training,1020,Candidates,DSDP training requirement,NA,2022-23,DSDP,MSSDS_MSNAS_2023,302,Bar Chart,Extracted,,,,
IND0012,D001,Pune,SEC_ELEC,Electronics,DSDP Training,960,Candidates,DSDP training requirement,NA,2022-23,DSDP,MSSDS_MSNAS_2023,302,Bar Chart,Extracted,,,,
IND0013,D001,Pune,SEC_CAP,Capital Goods,DSDP Training,930,Candidates,DSDP training requirement,NA,2022-23,DSDP,MSSDS_MSNAS_2023,302,Bar Chart,Extracted,,,,
IND0014,D001,Pune,SEC_AUTO,Automotive,DSDP Training,930,Candidates,DSDP training requirement,NA,2022-23,DSDP,MSSDS_MSNAS_2023,302,Bar Chart,Extracted,,,,
IND0015,D001,Pune,SEC_IT,IT/ITeS,DSDP Training,750,Candidates,DSDP training requirement,NA,2022-23,DSDP,MSSDS_MSNAS_2023,302,Bar Chart,Extracted,,,,
IND0016,D001,Pune,SEC_MEDIA,Media & Entertainment,DSDP Training,720,Candidates,DSDP training requirement,NA,2022-23,DSDP,MSSDS_MSNAS_2023,302,Bar Chart,Extracted,,,,
