district_id,district_name,division,state,district_code,is_prototype_district,valid_from,valid_to,source_document_id,source_page,notes
D001,Pune,Pune,Maharashtra,,Yes,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,301,Prototype district
D002,Nashik,Nashik,Maharashtra,,Yes,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,264,Prototype district
D003,Nagpur,Nagpur,Maharashtra,,Yes,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,230,Prototype district
D004,Ahmednagar,Nashik,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,30,
D005,Akola,Amravati,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,42,
D006,Amravati,Amravati,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,52,
D007,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,64,
D008,Beed,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,74,
D009,Bhandara,Nagpur,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,84,
D010,Buldhana,Amravati,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,94,
D011,Chandrapur,Nagpur,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,105,
D012,Dhule,Nashik,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,114,
D013,Gadchiroli,Nagpur,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,128,
D014,Gondia,Nagpur,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,138,
D015,Hingoli,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,151,
D016,Jalgaon,Nashik,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,163,
D017,Jalna,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,172,
D018,Kolhapur,Pune,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,184,
D019,Latur,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,198,
D020,Mumbai City,Mumbai,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,209,
D021,Mumbai Suburban,Mumbai,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,210,
D022,Nanded,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,243,
D023,Nandurbar,Nashik,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,254,
D024,Dharashiv,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,278,
D025,Parbhani,Chhatrapati Sambhajinagar,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,288,
D026,Raigad,Konkan,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,316,
D027,Ratnagiri,Konkan,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,327,
D028,Sangli,Pune,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,338,
D029,Satara,Pune,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,350,
D030,Sindhudurg,Konkan,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,363,
D031,Solapur,Pune,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,373,
D032,Thane,Konkan,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,386,
D033,Wardha,Nagpur,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,399,
D034,Washim,Amravati,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,408,
D035,Yavatmal,Amravati,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,418,
D036,Palghar,Konkan,Maharashtra,,No,2023-01-01,2023-12-31,MSSDS_MSNAS_2023,429,
