sector_id,sector_name_canonical,sector_aliases,sector_group,taxonomy_source,taxonomy_version,effective_from,effective_to,review_status,notes
SEC_AERO,Aerospace & Aviation,"Aerospace, Aviation",Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_AGRI,Agriculture,Agri,Primary,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_APP,Apparel,"Apparel & Fashion",Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_AUTO,Automotive,Auto,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_BEAU,Beauty & Wellness,"Beauty, Wellness",Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_BFSI,BFSI,"Banking, Financial Services and Insurance",Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_CAP,Capital Goods,Capital Goods,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_CHEM,Chemicals,Chemical,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_CONST,Construction,Construction,Infrastructure,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_DOM,Domestic Workers,Domestic,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_EDU,Education,Education,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_ELEC,Electronics,Electronic,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_FOOD,Food Processing,Food,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_FURN,Furniture & Fittings,Furniture,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_GEM,Gem & Jewellery,"Gems, Jewellery",Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_GREEN,Green Jobs,Green,Emerging,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_HAND,Handicraft & Carpet,"Handicraft, Carpet",Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_HC,Healthcare,Health,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_HYDRO,Hydrocarbon,Hydrocarbon,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_INFRA,Infrastructure,Infrastructure,Infrastructure,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_INST,Instrumentation,Instrumentation,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_IRON,Iron & Steel,"Iron, Steel",Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_IT,IT/ITeS,"IT, ITeS",Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_LEATHER,Leather,Leather,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_LIFE,Life Science,Life Sciences,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_LOG,Logistics,Logistics,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_MGMT,Management,Management,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_MEDIA,Media & Entertainment,"Media, Entertainment",Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_METAL,Metal Products,Metal,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_MINING,Mining,Mining,Primary,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_PAINT,Paints & Coatings,"Paints, Coatings",Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_PETRO,Petrochemicals,Petrochemical,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_PLUMB,Plumbing,Plumbing,Construction,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_POWER,Power,Power,Infrastructure,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_PWD,Persons with Disability,PwD,Social,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_RETAIL,Retail,Retail,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_RUBBER,Rubber,Rubber,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_SPORTS,Sports,Sports,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_TELECOM,Telecom,Telecom,Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_TEXTILE,Textile,Textile,Manufacturing,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
SEC_TOUR,Tourism & Hospitality,"Tourism, Hospitality",Services,MSSDS MSNAS 2023,1.0,2023-01-01,2023-12-31,Active,
